"","road","par17nm","ave"
"78","Angle Place","Llanishen",0.200097272727273
"79","Anglesey Street","Canton",0.01201125
"80","Angus Street","Roath",0.00473818181818182
"81","Apollo Close","Thornhill",0.174613
"82","Appledore Road","Llandaff North",0.119635942028986
"83","Applewood Close","Splott",0.0244552941176471
"84","Arabella Street","Roath",0.00996650793650794
"85","Archer Crescent","Ely",0.127692580645161
"86","Archer Place","Ely",0.219932222222222
"87","Archer Road","Ely",0.112508023255814
"88","Archer Terrace","Ely",0.35906
"89","Ardwyn","Rhiwbina",0.145092380952381
"90","Argyle Way","Caerau",0.09134
"91","Arles Road","Caerau",0.0978066666666667
"92","Arlington Crescent","Llanrumney",0.0949211111111111
"93","Armoury Drive","Heath",0.115523333333333
"94","Arnold Avenue","Llanrumney",0.10531972972973
"95","Arnside Road","Penylan",0.245559230769231
"96","Arran Place","Roath",0.0750583720930233
"97","Arran Street","Roath",0.0525663636363636
"98","Arrol Street","Splott",0.077146
"99","Arthur Street","Adamsdown",0.0525657142857143
"100","Arudhur Hen","Radyr and Morganstown",0.0387145945945946
"101","Arundel Place","Grangetown",0.263676956521739
"102","Ascot Close","Caerau",0.0387857142857143
"103","Asgog Street","Splott",0.00409545454545455
"104","Ash Grove","Wenvoe",0.00012
"105","Ash Tree Close","Radyr and Morganstown",0.204957222222222
"106","Ashbourn Way","Llanishen",0.19084661971831
"107","Ashburton Avenue","Llanrumney",0.0779071111111111
"108","Ashchurch Close","Whitchurch",0.120858888888889
"109","Ashcroft Crescent","Fairwater",0.083894
"110","Ashdene Close","Fairwater",0.2757616
"111","Aspen Close","Trowbridge",0.240103333333333
"112","Aster Close","Trowbridge",0.230161666666667
"113","Aston Place","Trowbridge",0.148908
"114","Astoria Close","Thornhill",0.101397857142857
"115","Athelstan Road","Whitchurch",0.11856347826087
"116","Atlantic Wharf","Butetown",0.0580786666666667
"117","Atlas Place","Canton",0.04858375
"118","Atlas Road","Canton",0.0435091428571429
"119","Atlas Road","Riverside",0.0475633333333333
"120","Attfield Close","Penylan",0.242602857142857
"121","Aubrey Avenue","Canton",0.0757455555555556
"122","Augusta Street","Adamsdown",0.0029075
"123","Austen Close","Llanrumney",0.07584
"124","Australia Road","Gabalfa",0.0564991379310345
"125","Avoca Place","Grangetown",0.0245416666666667
"126","Avondale Crescent","Grangetown",0.0356195081967213
"127","Avondale Gardens","Grangetown",0.0931308333333333
"128","Avondale Gardens South","Grangetown",0.168231363636364
"129","Avondale Road","Grangetown",0.224325689655172
"130","Avonmuir Road","Tremorfa",0.14964
"131","Avonridge","Thornhill",0.103404054054054
"132","Axbridge Crescent","Llanrumney",0.192578596491228
"133","Axminster Road","Penylan",0.158992727272727
"134","Azalea Close","Pentwyn",0.187176470588235
"135","Baber Close","Penylan",0.137898
"136","Bacton Road","Llandaff North",0.1648388
"137","Baden Road","Tremorfa",0.077651
"138","Bader Close","Llanishen",0.1447
"139","Bailey Close","Fairwater",0.121348333333333
"140","Bakers Row","Castle",0.000687777777777778
"141","Bala Road","Llandaff North",0.147156071428571
"142","Balaclava Road","Penylan",0.0544191666666667
"143","Baldwin Close","Llandaff",0.22898
"144","Ball Close","Llanrumney",0.0866766666666667
"145","Ball Lane","Llanrumney",0.197299285714286
"146","Ball Road","Llanrumney",0.0934888397790055
"147","Balmoral Close","Lisvane",0.280963
"148","Baltimore Close","Pontprennau",0.1884175
"149","Bampton Road","Llanrumney",0.122417727272727
"150","Banastre Avenue","Gabalfa",0.0869564285714286
"151","Bangor Court","Roath",0.22655
"152","Bangor Street","Roath",0.10429696969697
"153","Bankside Close","Thornhill",0.151168333333333
"154","Banwell Place","Llanrumney",0.101212
"155","Bardsey Crescent","Llanishen",0.099485
"156","Bargoed Street","Grangetown",0.0690446153846154
"157","Barmouth Road","Rumney",0.160711044776119
"158","Barnard Avenue","Caerau",0.220215806451613
"159","Barnfield Close","Pontprennau",0.179639
"160","Barnfield Dr","Radyr and Morganstown",0.176478947368421
"161","Barnstaple Road","Llanrumney",0.0589425714285714
"162","Barnwood Crescent","Ely",0.0888616666666667
"163","Baron's Court Road","Penylan",0.0944748717948718
"164","Barquentine Place","Butetown",0.386938333333333
"165","Barrington Road","Whitchurch",0.0812376470588235
"166","Bartley Wilson Way","Canton",0.0867234482758621
"167","Basil Place","Cathays",0.0313209090909091
"168","Bassaleg Close","Trowbridge",0.0244066666666667
"169","Bassett Street","Canton",0.01400875
"170","Bassetts Field","Rhiwbina",0.188155945945946
"171","Baynton Close","Llandaff",0.0849846153846154
"172","Bayside Road","Splott",0.132252941176471
"173","Beacon Street","Pontcanna",0.0366688888888889
"174","Beale Close","Llandaff",0.27661046875
"175","Beatrice Road","Whitchurch",0.0728789655172414
"176","Beatty Avenue","Cyncoed",0.284621830985915
"177","Beauchamp Street","Riverside",0.0757636
"178","Beaufort Square","Tremorfa",0.0674107843137255
"179","Beaumaris Road","Rumney",0.184206486486486
"180","Beck Court","Pontprennau",0.158009090909091
"181","Beckgrove Close","Tremorfa",0.244935454545455
"182","Beda Road","Canton",0.00713806451612903
"183","Bedavere Close","Thornhill",0.141133571428571
"184","Bedford Place","Roath",0.125473333333333
"185","Bedford Street","Roath",0.0567121276595745
"186","Bedwas Close","Trowbridge",0.0331290909090909
"187","Bedwas Street","Grangetown",0.00776571428571429
"188","Beech Road","Fairwater",0.185907714285714
"189","Beech Tree Close","Radyr and Morganstown",0.215846
"190","Beecher Avenue","Grangetown",0.13101
"191","Beechley Drive","Fairwater",0.181532873563218
"192","Beechley Drive","St. Fagans",0.10471
"193","Began Road","Old St. Mellons",0.732869661016949
"194","Beignon Close","Splott",0.155327272727273
"195","Belgrave Close","Thornhill",0.158001666666667
"196","Belle Vue Crescent","Llandaff North",0.03296
"197","Beresford Road","Adamsdown",0.0267553846153846
"198","Beresford Road Lane","Adamsdown",0.0289380952380952
"199","Berkeley Square","Wenvoe",0.226557857142857
"200","Bernard Avenue","Canton",0.0500033333333333
"201","Berry Place","Fairwater",0.112542333333333
"202","Berrymead Road","Cyncoed",0.148105581395349
"203","Berthwin Street","Pontcanna",0.137094
"204","Bertram Street","Adamsdown",0.0270111538461538
"205","Bessborough Drive","Grangetown",0.0863095454545455
"206","Bessemer Close","Grangetown",0.221920810810811
"207","Bessemer Road","Grangetown",0.1108905
"208","Bethania Row","Old St. Mellons",0.504169090909091
"209","Bethel Place","Llanishen",0.179506666666667
"210","Bettws-Y-Coed Road","Cyncoed",0.231781643835616
"211","Beulah Road","Rhiwbina",0.236372962962963
"212","Bevan Place","Gabalfa",0.22658
"213","Bideford Road","Llanrumney",0.108186730769231
"214","Birch Road","Fairwater",0.0658929411764706
"215","Birchfield Crescent","Canton",0.0790790625
"216","Birchgrove Road","Heath",0.0575327659574468
"217","Birchgrove Road","Whitchurch",0.0826066666666667
"218","Birchwood Gardens","Whitchurch",0.146917755102041
"219","Birchwood Road","Penylan",0.522911836734694
"220","Birkdale Close","Trowbridge",0.14255875
"221","Bishop's Road","Whitchurch",0.106905940594059
"222","Bishop Hannon drive","Fairwater",0.13
"223","Bishop Hannon Drive","Fairwater",0.192897169811321
"224","Bishop Street","Grangetown",0.02722
"225","Bishops' Avenue","Llandaff",0.163782857142857
"226","Bishops' Close","Llandaff",0.173645
"227","Bishops' Place","Llandaff",0.212964736842105
"228","Bishops' Walk","Llandaff",0.191036470588235
"229","Bishops Close","Whitchurch",0.00988890625
"230","Bishops Court","Whitchurch",0.132
"231","Bishops Place","Whitchurch",0.187445454545455
"232","Bishops Walk","Llandaff",0.278045
"233","Bishopston Road","Caerau",0.0917531914893617
"234","Bisley Close","Tremorfa",0.0358575
"235","Black Oak Road","Cyncoed",0.1622875
"236","Blackberry Way","Pontprennau",0.0683523529411765
"237","Blackbirds Way","Old St. Mellons",0.207839142857143
"238","Blackmoor Place","Llanrumney",0.0417076470588235
"239","Blackstone Street","Riverside",0.07931
"240","Blackweir Terrace","Cathays",0.126302941176471
"241","Blaen y coed","Radyr and Morganstown",0.188421578947368
"242","Blaen y Coed","Rhiwbina",0.238334642857143
"243","Blaenavon Close","Trowbridge",0.0361375
"244","Blaenclydach Place","Grangetown",0.154574
"245","Blaenclydach Street","Grangetown",0.003049375
"246","Blagdon Close","Llanrumney",0.315272727272727
"247","Blaina Close","Trowbridge",0.0152185714285714
"248","Blaise Place","Grangetown",0.172369189189189
"249","Blanche Street","Adamsdown",0.0264427272727273
"250","Blandon Way","Whitchurch",0.1601024
"251","Blenheim Road","Penylan",0.0931131168831169
"252","Blethin Close","Llandaff",0.140735405405405
"253","Bloom Street","Pontcanna",0.03488
"254","Blosse Road","Llandaff North",0.0527009090909091
"255","Blossom Drive","Lisvane",0.199322558139535
"256","Blue House Road","Llanishen",0.165616
"257","Bluebell Drive","Llanrumney",0.200091538461538
"258","Bluebell Drive","Old St. Mellons",0.235443
"259","Bodnant Close","Trowbridge",0.0886592
"260","Boleyn Walk","Penylan",0.289664693877551
"261","Boncath Road","Llandaff North",0.250901081081081
"262","Booker Street","Adamsdown",0.00824
"263","Borage Close","Pentwyn",0.171487142857143
"264","Borage Close","Pontprennau",0.193884761904762
"265","Borrowdale Close","Penylan",0.0683366666666667
"266","Borth Road","Trowbridge",0.146736
"267","Boswell Close","Llanrumney",0.0396666666666667
"268","Boulevard de Nantes","Castle",0.217390263157895
"269","Boverton Street","Roath",0.152904736842105
"270","Bow Street","Wenvoe",0.00012
"271","Brachdy Close","Rumney",0.0782668421052632
"272","Brachdy Lane","Rumney",0.154408421052632
"273","Brachdy Road","Rumney",0.134226774193548
"274","Bracken Place","Fairwater",0.122785
"275","Bradford Street","Grangetown",0.00822823529411765
"276","Bradley Street","Adamsdown",0.0298705
"277","Braeval Street","Roath",0.00416846153846154
"278","Bramble Close","Fairwater",0.0476228571428571
"279","Bramblewood Close","Thornhill",0.311567142857143
"280","Brambling Drive","Thornhill",0.108821666666667
"281","Bramshill Drive","Pontprennau",0.224197272727273
"282","Brandreth Gardens","Penylan",0.28474125
"283","Brandreth Road","Penylan",0.245108403361345
"284","Branwen Close","Caerau",0.0833236363636364
"285","Braunton Avenue","Llanrumney",0.0897028846153846
"286","Braunton Crescent","Llanrumney",0.18288023255814
"287","Brayford Place","Llanrumney",0.016042
"288","Brecon Street","Canton",0.00661529411764706
"289","Brendon Close","Llanrumney",0.0600214285714286
"290","Brenig Close","Thornhill",0.112625
"291","Brianne Drive","Thornhill",0.171900769230769
"292","Briar Close","Fairwater",0.115424166666667
"293","Briarmeadow Drive","Thornhill",0.184508139534884
"294","Briarwood Drive","Cyncoed",0.272465909090909
"295","Bridge Road","Llandaff",0.52022320754717
"296","Bridge Road","Llandaff North",0.167256111111111
"297","Bridge Road","Old St. Mellons",0.627059787234043
"298","Bridge Street","Castle",0.00841307692307692
"299","Bridge Street","Llandaff",0.12351625
"300","Bridgewater Road","Llanrumney",0.103009722222222
"301","Brigantine Place","Butetown",0.234040789473684
"302","Brindley Road","Grangetown",0.161433428571429
"303","Britannia Quay","Butetown",0.179327307692308
"304","Brithdir Street","Cathays",0.00792159090909091
"305","British Legion Drive","Llanrumney",0.0640805882352941
"306","Bro Athro","Trowbridge",0.0639678571428571
"307","Broad Place","Canton",0.0893766666666667
"308","Broad Street","Canton",0.0997865420560748
"309","Broadacres","Canton",0.0885292592592593
"310","Broadfield Court","Caerau",0.154808461538462
"311","Broadhaven","Canton",0.0802755769230769
"312","Broadlands Court","Trowbridge",0.254802857142857
"313","Broadstairs Road","Canton",0.0548464516129032
"314","Broadway","Adamsdown",0.0129617431192661
"315","Broadwell Close","Trowbridge",0.111837692307692
"316","Brocastle Road","Whitchurch",0.118733076923077
"317","Brockhampton Road","Trowbridge",0.449827083333333
"318","Bromfield Street","Grangetown",0.00550777777777778
"319","Bromley Drive","Caerau",0.110668409090909
"320","Bromsgrove Street","Grangetown",0.055771914893617
"321","Bron Felen","Thornhill",0.1217
"322","Bronte Close","Llanrumney",0.099326875
"323","Bronte Crescent","Llanrumney",0.109918235294118
"324","Bronwydd Avenue","Penylan",0.36618350877193
"325","Bronwydd Close","Penylan",0.2845
"326","Bronwydd Road","Tremorfa",0.04878
"327","Brook Road","Fairwater",0.0168552380952381
"328","Brook Road","Whitchurch",0.371282727272727
"329","Brook Street","Riverside",0.022580625
"330","Brookfield Drive","Trowbridge",0.203639534883721
"331","Brooklands Terrace","Wenvoe",0.402574242424242
"332","Brooklyn Close","Rhiwbina",0.165241818181818
"333","Brookside Close","Heath",0.243051111111111
"334","Brookvale Drive","Thornhill",0.235158392857143
"335","Brookview Close","Thornhill",0.15301
"336","Broom Place","Fairwater",0.0425655555555556
"337","Brown Court","Trowbridge",0.140843333333333
"338","Browning Close","Llanrumney",0.0551316666666667
"339","Bruce Knight Close","Llandaff",0.121555
"340","Bruce Street","Cathays",0.0109158333333333
"341","Brundall Crescent","Caerau",0.122832580645161
"342","Brunel Street","Riverside",0.0514614285714286
"343","Brunswick Street","Canton",0.0174145054945055
"344","Bruton Place","Llandaff",0.422485
"345","Brydges Place","Cathays",0.027852380952381
"346","Bryn-Awelon Road","Cyncoed",0.371295957446808
"347","Bryn-y-nant","Llanedeyrn",0.275821607142857
"348","Bryn Adar","Rhiwbina",0.190332
"349","Bryn Bach","Rhiwbina",0.164196666666667
"350","Bryn Calch","Radyr and Morganstown",0.256252
"351","Bryn Castell","Radyr and Morganstown",0.25948625
"352","Bryn Celyn","Pentwyn",0.196490740740741
"353","Bryn Celyn Road","Pentwyn",0.183273595505618
"354","Bryn Coed","Radyr and Morganstown",0.245195
"355","Bryn Derwen","Radyr and Morganstown",0.333748937198068
"356","Bryn Glas","Thornhill",0.178591818181818
"357","Bryn Golwg","Radyr and Morganstown",0.145361428571429
"358","Bryn Gwyn Road","Cyncoed",0.268861470588235
"359","Bryn Haidd","Pentwyn",0.152533846153846
"360","Bryn Hyfryd","Radyr and Morganstown",0.32552
"361","Bryn Pinwydden","Pentwyn",0.124931325301205
"362","Bryn Rhosyn","Radyr and Morganstown",0.118987142857143
"363","Brynbala Way","Trowbridge",0.103402763157895
"364","Bryncyn","Pentwyn",0.132571020408163
"365","Brynderwen Close","Cyncoed",0.303226875
"366","Brynedw","Llanedeyrn",0.0965643902439024
"367","Brynfedw","Llanedeyrn",0.0358966666666667
"368","Brynheulog","Pentwyn",0.143983275862069
"369","Brynheulog","Whitchurch",0.165506
"370","Brynmawr Close","Trowbridge",0.0362445454545455
"371","Brynnedw","Llanedeyrn",0.199318
"372","Brynteg","Rhiwbina",0.167556179775281
"373","Brynteg Close","Cyncoed",0.276736666666667
"374","Bryntirion","Rhiwbina",0.131306153846154
"375","Brython Drive","Trowbridge",0.08423
"376","Buckingham Close","Lisvane",0.1631875
"377","Buckley Close","Llandaff",0.127709523809524
"378","Bulrush Close","Trowbridge",0.132063333333333
"379","Bunyan Close","Llanrumney",0.055065
"380","Burgess Place","Grangetown",0.0953210526315789
"381","Burlington Terrace","Canton",0.0956884210526316
"382","Burnaby Street","Splott",0.0059527027027027
"383","Burne Jones Close","Llandaff",0.226592142857143
"384","Burnham Avenue","Llanrumney",0.0990402816901408
"385","Burreed Close","Trowbridge",0.248375714285714
"386","Burt Place","Butetown",0.0260983333333333
"387","Burt Street","Butetown",0.059798
"388","Burwell Close","Pontprennau",0.231765882352941
"389","Bute Crescent","Butetown",0.04479
"390","Bute Esplanade","Butetown",0.120971428571429
"391","Bute Place","Butetown",0.0821249019607843
"392","Bute Street","Butetown",0.195753709677419
"393","Bute Street","Castle",0.024602
"394","Bute Terrace","Castle",0.064155223880597
"395","Butleigh Avenue","Canton",0.12155
"396","Butterbur Place","St. Fagans",0.242935714285714
"397","Butterfield Drive","Pontprennau",0.278445925925926
"398","Bwlch Road","Fairwater",0.167524701492537
"399","Byron Street","Roath",0.0311657894736842
"400","Cadman Close","Tremorfa",0.104759444444444
"401","Cadnant Close","Llanishen",0.115914
"402","Cadvan Road","Ely",0.0764155
"403","Cadwgan Place","Fairwater",0.211402352941176
"404","Cae'r Graig","Radyr and Morganstown",0.317659368421053
"405","Cae Garw","Thornhill",0.191843714285714
"406","Cae Maen","Heath",0.162584285714286
"407","Cae Mawr Road","Rhiwbina",0.229515
"408","Cae Syr Dafydd","Canton",0.130586923076923
"409","Cae Ty Mawr","Whitchurch",0.1531576
"410","Cae Yorath","Whitchurch",0.190843571428571
"411","Caedelyn Road","Rhiwbina",0.10785064516129
"412","Caedelyn Road","Whitchurch",0.15174
"413","Caeglas Avenue","Rumney",0.13141
"414","Caeglas Road","Rumney",0.141291232876712
"415","Caegwyn Road","Heath",0.167602558139535
"416","Caegwyn Road","Whitchurch",0.249323333333333
"417","Caenewydd Close","Ely",0.0811427272727273
"418","Caer Cady Close","Cyncoed",0.0679618181818182
"419","Caer Castell Place","Rumney",0.187797682926829
"420","Caer Wenallt","Rhiwbina",0.208856371681416
"421","Caerau Court Road","Caerau",0.191999
"422","Caerau Lane","Caerau",0.282409074074074
"423","Caerau Park Crescent","Caerau",0.155487666666667
"424","Caerau Park Place","Caerau",0.200978
"425","Caerau Park Road","Caerau",0.134247407407407
"426","Caerau Road","Caerau",0.121527837837838
"427","Caerleon Close","Trowbridge",0.0467457142857143
"428","Caerleon Road","Gabalfa",0.345551153846154
"429","Caernarvon Way","Trowbridge",0.0503620588235294
"430","Caerphilly Road","Heath",0.0892236538461538
"431","Caerphilly Road","Llanishen",0.117988139534884
"432","Caerwent Road","Ely",0.0950967567567568
"433","Caewal Road","Llandaff",0.288271891891892
"434","Cairnmuir Road","Tremorfa",0.183727
"435","Caldicot Road","Caerau",0.143597
"436","Caldy Court","Llandaff North",0.138535
"437","Caldy Road","Llandaff North",0.110757121212121
"438","Callaghan Square","Butetown",0.195963777777778
"439","Cambourne Avenue","Whitchurch",0.0685626315789474
"440","Cambria Road","Ely",0.114356481481481
"441","Cambridge Street","Grangetown",0.0352832558139535
"442","Camelot Way","Thornhill",0.253005
"443","Cameron Street","Splott",0.0070745
"444","Campbell Drive","Grangetown",0.256387708333333
"445","Campion Place","Fairwater",0.38029
"446","Camrose Road","Caerau",0.05102575
"447","Canada Road","Gabalfa",0.123239454545455
"448","Canal Parade","Butetown",0.07196625
"449","Canal Street","Castle",0.0949945454545455
"450","Canaston Place","Caerau",0.060673
"451","Cannington Avenue","Llanrumney",0.0890694117647059
"452","Canopus Close","Old St. Mellons",0.322234285714286
"453","Canton Court","Riverside",0.006385
"454","Cantref Close","Thornhill",0.176815
"455","Capel Edeyrn","Pontprennau",0.214635925925926
"456","Capelgwilym Road","Lisvane",0.3536425
"457","Capelgwilym Road","Thornhill",0.387076451612903
"458","Caradoc Close","Trowbridge",0.0945152941176471
"459","Caradoc Road","Whitchurch",0.058181875
"460","Caraway Close","Trowbridge",0.133991428571429
"461","Cardiff Road","Llandaff",0.277002669902913
"462","Cardiff Road","Pontcanna",0.354974782608696
"463","Cardiff Road","St. Fagans",0.82174
"464","Cardigan Street","Canton",0.0394821739130435
"465","Cardinal Drive","Lisvane",0.194067692307692
"466","Cargo Road","Butetown",0.00434412698412698
"467","Carisbrooke Way","Penylan",0.190258015267176
"468","Carling Court","Ely",0.0882763636363636
"469","Carlisle Street","Splott",0.00258080808080808
"470","Carlton Close","Thornhill",0.136274
"471","Carmarthen Street","Canton",0.108037777777778
"472","Carnegie Drive","Cyncoed",0.166952142857143
"473","Carter Place","Fairwater",0.0478919230769231
"474","Cartwright Court","Roath",0.119931111111111
"475","Cartwright Lane","Fairwater",0.157661428571429
"476","Carys Close","Caerau",0.233356
"477","Caspian Close","Trowbridge",0.134709166666667
"478","Castle Avenue","Rumney",0.0819830769230769
"479","Castle Crescent","Rumney",0.110192857142857
"480","Castle Rise","Rumney",0.186176
"481","Castle Street","Castle",0.0987851351351351
"482","Castlefield Place","Gabalfa",0.230670833333333
"483","Caswell Road","Rumney",0.150384285714286
"484","Cath Cob Close","Trowbridge",0.130035217391304
"485","Cathays Terrace","Castle",0.249500769230769
"486","Cathays Terrace","Cathays",0.064588
"487","Cathedral Close","Llandaff",0.462
"488","Cathedral Road","Pontcanna",0.216080545454545
"489","Cathedral Road","Riverside",0.201740833333333
"490","Cathedral View","Llandaff North",0.2696665
"491","Catherine Street","Cathays",0.0439032
"492","Cavendish Close","Thornhill",0.174078333333333
"493","Caxton Place","Pentwyn",0.121965483870968
"494","Cecil Street","Adamsdown",0.0242216666666667
"495","Cedar Grove","Fairwater",0.217886111111111
"496","Cefn-Coed Crescent","Cyncoed",0.291325625
"497","Cefn Carnau Road","Heath",0.172635909090909
"498","Cefn Coch","Radyr and Morganstown",0.142006
"499","Cefn Coed Avenue","Cyncoed",0.220238048780488
"500","Cefn Coed Gardens","Cyncoed",0.2214375
"501","Cefn Coed Road","Cyncoed",0.486941098901099
"502","Cefn Coed Road","Penylan",0.38014
"503","Cefn Graig","Rhiwbina",0.168186478873239
"504","Cefn Mably Road","Lisvane",0.348736428571429
"505","Cefn Nant","Rhiwbina",0.226384444444444
"506","Cefn Onn Meadows","Thornhill",0.104993076923077
"507","Cefn Road","Llandaff North",0.1097565625
"508","Ceiriog Drive","Rhiwbina",0.42797
"509","Celandine Road","Ely",0.282101428571429
"510","Celandine Road","St. Fagans",0.24014
"511","Celerity Drive","Butetown",0.135684285714286
"512","Celtic Road","Whitchurch",0.330313921568627
"513","Celyn Avenue","Cyncoed",0.244663308823529
"514","Celyn Grove","Cyncoed",0.291486666666667
"515","Cemaes Crescent","Trowbridge",0.145235666666667
"516","Central Avenue","Wenvoe",0.00012
"517","Central Link","Adamsdown",0.359720285714286
"518","Central Link","Butetown",0.180285
"519","Centurion Close","Caerau",0.0910955555555556
"520","Chamberlain Road","Llandaff North",0.134640238095238
"521","Chamomile Close","Pontprennau",0.127918823529412
"522","Chancery Lane","Riverside",0.0330104347826087
"523","Channel View Road","Grangetown",0.1514442
"524","Chapel Road","Radyr and Morganstown",0.220754
"525","Chapel Row","Old St. Mellons",0.301355555555556
"526","Chapel Street","Llandaff",0.108150666666667
"527","Chapel Wood","Llanedeyrn",0.201114387755102
"528","Chard Avenue","Llanrumney",0.0753421621621622
"529","Chargot Road","Canton",0.103984411764706
"530","Charles Street","Castle",0.0471959090909091
"531","Charlock Close","Thornhill",0.155876486486486
"532","Charlotte Square","Rhiwbina",0.53411525
"533","Charnwood Drive","Pontprennau",0.218360454545455
"534","Charteris Crescent","Ely",0.412873125
"535","Charteris Road","Ely",0.180927826086957
"536","Chartley Close","Trowbridge",0.06715
"537","Chartwell Drive","Lisvane",0.179536481481481
"538","Chatterton Square","Grangetown",0.106085263157895
"539","Chaucer Close","Llanrumney",0.10502625
"540","Cheam Place","Llanishen",0.209561111111111
"541","Cheddar Crescent","Llanrumney",0.0982346428571429
"542","Chepstow Close","Caerau",0.05906625
"543","Cheriton Drive","Thornhill",0.184245277777778
"544","Cherry Close","Fairwater",0.160531538461538
"545","Cherry Orchard Road","Lisvane",0.340149304347826
"546","Cherry Orchard Road","Thornhill",0.351339166666667
"547","Cherry Tree Close","Lisvane",0.300708181818182
"548","Cherrydale Road","Ely",0.117704
"549","Cherrydown Close","Thornhill",0.050616
"550","Cherrywood Close","Thornhill",0.208999473684211
"551","Chervil Close","Trowbridge",0.178668
"552","Cheshire Close","Llanishen",0.14461875
"553","Chester Close","Trowbridge",0.110906666666667
"554","Chester Place","Grangetown",0.007476
"555","Chester Street","Grangetown",0.000920666666666667
"556","Chesterton Road","Llanrumney",0.244847804878049
"557","Chestnut Road","Fairwater",0.209866818181818
"558","Chestnut Tree Close","Radyr and Morganstown",0.187575
"559","Chichester Way","Caerau",0.0890978571428571
"560","Chorley Close","Fairwater",0.100516111111111
"561","Christina Street","Butetown",0.035385
"562","Chumleigh Close","Llanrumney",0.04265
"563","Church Close","Lisvane",0.223345833333333
"564","Church Place","Castle",0.0456108333333333
"565","Church Road","Caerau",0.145517962962963
"566","Church Road","Canton",0.120388333333333
"567","Church Road","Lisvane",0.511974444444444
"568","Church Road","Pentwyn",0.568678333333333
